pixel_ID,lat,lon,utm_n,utm_e,population
0,-12.3355207349,-77.295368257,8635276.06272,250380.803307,0
1,-12.3355979583,-77.2861778979,8635276.06272,251380.803307,0
2,-12.3356748726,-77.2769874772,8635276.06272,252380.803307,0
3,-12.3357514776,-77.2677969951,8635276.06272,253380.803307,0
4,-12.3358277734,-77.2586064518,8635276.06272,254380.803307,0
5,-12.33590376,-77.2494158477,8635276.06272,255380.803307,0
6,-12.3359794374,-77.2402251829,8635276.06272,256380.803307,0
7,-12.3360548055,-77.2310344577,8635276.06272,257380.803307,0
8,-12.3361298644,-77.2218436724,8635276.06272,258380.803307,0
9,-12.336204614,-77.2126528272,8635276.06272,259380.803307,0
10,-12.3362790544,-77.2034619223,8635276.06272,260380.803307,0
11,-12.3363531854,-77.194270958,8635276.06272,261380.803307,0
12,-12.3364270072,-77.1850799346,8635276.06272,262380.803307,0
13,-12.3365005197,-77.1758888523,8635276.06272,263380.803307,0
14,-12.3365737229,-77.1666977113,8635276.06272,264380.803307,0
15,-12.3366466168,-77.1575065119,8635276.06272,265380.803307,0
16,-12.3367192014,-77.1483152543,8635276.06272,266380.803307,0
17,-12.3367914766,-77.1391239388,8635276.06272,267380.803307,0
18,-12.3368634425,-77.1299325656,8635276.06272,268380.803307,0
19,-12.336935099,-77.1207411351,8635276.06272,269380.803307,0
20,-12.3370064462,-77.1115496473,8635276.06272,270380.803307,0
21,-12.337077484,-77.1023581026,8635276.06272,271380.803307,0
22,-12.3371482125,-77.0931665012,8635276.06272,272380.803307,0
23,-12.3372186315,-77.0839748434,8635276.06272,273380.803307,0
24,-12.3372887412,-77.0747831294,8635276.06272,274380.803307,0
25,-12.3373585414,-77.0655913594,8635276.06272,275380.803307,0
26,-12.3374280323,-77.0563995338,8635276.06272,276380.803307,0
27,-12.3374972137,-77.0472076527,8635276.06272,277380.803307,0
28,-12.3375660857,-77.0380157164,8635276.06272,278380.803307,0
29,-12.3376346483,-77.0288237252,8635276.06272,279380.803307,0
30,-12.3377029014,-77.0196316792,8635276.06272,280380.803307,0
31,-12.337770845,-77.0104395788,8635276.06272,281380.803307,0
32,-12.3378384793,-77.0012474242,8635276.06272,282380.803307,0
33,-12.337905804,-76.9920552156,8635276.06272,283380.803307,0
34,-12.3379728192,-76.9828629533,8635276.06272,284380.803307,0
35,-12.338039525,-76.9736706376,8635276.06272,285380.803307,0
36,-12.3381059213,-76.9644782686,8635276.06272,286380.803307,0
37,-12.3381720081,-76.9552858466,8635276.06272,287380.803307,0
38,-12.3382377853,-76.946093372,8635276.06272,288380.803307,0
39,-12.338303253,-76.9369008448,8635276.06272,289380.803307,0
40,-12.3383684113,-76.9277082654,8635276.06272,290380.803307,0
41,-12.3384332599,-76.9185156341,8635276.06272,291380.803307,0
42,-12.3384977991,-76.9093229509,8635276.06272,292380.803307,0
43,-12.3385620286,-76.9001302164,8635276.06272,293380.803307,0
44,-12.3386259487,-76.8909374305,8635276.06272,294380.803307,0
45,-12.3386895591,-76.8817445937,8635276.06272,295380.803307,0
46,-12.33875286,-76.8725517061,8635276.06272,296380.803307,0
47,-12.3388158513,-76.8633587681,8635276.06272,297380.803307,0
48,-12.338878533,-76.8541657797,8635276.06272,298380.803307,0
49,-12.3389409051,-76.8449727414,8635276.06272,299380.803307,0
50,-12.3390029676,-76.8357796533,8635276.06272,300380.803307,7
51,-12.3390647205,-76.8265865158,8635276.06272,301380.803307,29
52,-12.3391261637,-76.8173933289,8635276.06272,302380.803307,0
53,-12.3391872973,-76.8082000931,8635276.06272,303380.803307,0
54,-12.3392481213,-76.7990068084,8635276.06272,304380.803307,0
55,-12.3393086357,-76.7898134753,8635276.06272,305380.803307,0
56,-12.3393688404,-76.7806200939,8635276.06272,306380.803307,0
57,-12.3394287354,-76.7714266645,8635276.06272,307380.803307,0
58,-12.3394883207,-76.7622331872,8635276.06272,308380.803307,0
59,-12.3395475964,-76.7530396625,8635276.06272,309380.803307,0
60,-12.3396065624,-76.7438460905,8635276.06272,310380.803307,0
61,-12.3396652188,-76.7346524714,8635276.06272,311380.803307,0
62,-12.3397235654,-76.7254588056,8635276.06272,312380.803307,0
63,-12.3397816023,-76.7162650932,8635276.06272,313380.803307,0
64,-12.3398393295,-76.7070713346,8635276.06272,314380.803307,0
65,-12.339896747,-76.6978775299,8635276.06272,315380.803307,0
66,-12.3264848645,-77.2952895891,8636276.06272,250380.803307,0
67,-12.3265620297,-77.2860995443,8636276.06272,251380.803307,0
68,-12.3266388859,-77.2769094378,8636276.06272,252380.803307,0
69,-12.3267154331,-77.26771927,8636276.06272,253380.803307,0
70,-12.3267916713,-77.2585290411,8636276.06272,254380.803307,0
71,-12.3268676006,-77.2493387513,8636276.06272,255380.803307,0
72,-12.3269432208,-77.2401484009,8636276.06272,256380.803307,0
73,-12.3270185321,-77.2309579901,8636276.06272,257380.803307,0
74,-12.3270935343,-77.2217675192,8636276.06272,258380.803307,0
75,-12.3271682275,-77.2125769883,8636276.06272,259380.803307,0
76,-12.3272426117,-77.2033863979,8636276.06272,260380.803307,0
77,-12.3273166868,-77.194195748,8636276.06272,261380.803307,0
78,-12.3273904529,-77.185005039,8636276.06272,262380.803307,0
79,-12.3274639099,-77.1758142711,8636276.06272,263380.803307,0
80,-12.3275370578,-77.1666234445,8636276.06272,264380.803307,0
81,-12.3276098967,-77.1574325596,8636276.06272,265380.803307,0
82,-12.3276824265,-77.1482416164,8636276.06272,266380.803307,0
83,-12.3277546472,-77.1390506154,8636276.06272,267380.803307,0
84,-12.3278265587,-77.1298595567,8636276.06272,268380.803307,0
85,-12.3278981612,-77.1206684406,8636276.06272,269380.803307,0
86,-12.3279694545,-77.1114772673,8636276.06272,270380.803307,0
87,-12.3280404387,-77.1022860371,8636276.06272,271380.803307,0
88,-12.3281111138,-77.0930947502,8636276.06272,272380.803307,0
89,-12.3281814797,-77.0839034069,8636276.06272,273380.803307,0
90,-12.3282515364,-77.0747120075,8636276.06272,274380.803307,0
91,-12.328321284,-77.065520552,8636276.06272,275380.803307,0
92,-12.3283907224,-77.0563290409,8636276.06272,276380.803307,0
93,-12.3284598516,-77.0471374744,8636276.06272,277380.803307,0
94,-12.3285286716,-77.0379458527,8636276.06272,278380.803307,0
95,-12.3285971824,-77.028754176,8636276.06272,279380.803307,0
96,-12.3286653841,-77.0195624447,8636276.06272,280380.803307,0
97,-12.3287332764,-77.0103706588,8636276.06272,281380.803307,0
98,-12.3288008596,-77.0011788188,8636276.06272,282380.803307,0
99,-12.3288681335,-76.9919869249,8636276.06272,283380.803307,0
100,-12.3289350982,-76.9827949772,8636276.06272,284380.803307,0
101,-12.3290017536,-76.9736029761,8636276.06272,285380.803307,0
102,-12.3290680998,-76.9644109217,8636276.06272,286380.803307,0
103,-12.3291341367,-76.9552188144,8636276.06272,287380.803307,0
104,-12.3291998643,-76.9460266544,8636276.06272,288380.803307,0
105,-12.3292652826,-76.9368344419,8636276.06272,289380.803307,0
106,-12.3293303916,-76.9276421772,8636276.06272,290380.803307,0
107,-12.3293951914,-76.9184498605,8636276.06272,291380.803307,0
108,-12.3294596818,-76.9092574921,8636276.06272,292380.803307,0
109,-12.3295238629,-76.9000650722,8636276.06272,293380.803307,0
110,-12.3295877347,-76.8908726011,8636276.06272,294380.803307,0
111,-12.3296512971,-76.881680079,8636276.06272,295380.803307,0
112,-12.3297145502,-76.8724875061,8636276.06272,296380.803307,0
113,-12.329777494,-76.8632948828,8636276.06272,297380.803307,0
114,-12.3298401283,-76.8541022092,8636276.06272,298380.803307,0
115,-12.3299024534,-76.8449094856,8636276.06272,299380.803307,1
116,-12.329964469,-76.8357167123,8636276.06272,300380.803307,381
117,-12.3300261753,-76.8265238895,8636276.06272,301380.803307,1461
118,-12.3300875722,-76.8173310174,8636276.06272,302380.803307,0
119,-12.3301486597,-76.8081380963,8636276.06272,303380.803307,0
120,-12.3302094377,-76.7989451265,8636276.06272,304380.803307,0
121,-12.3302699064,-76.7897521082,8636276.06272,305380.803307,0
122,-12.3303300657,-76.7805590416,8636276.06272,306380.803307,0
123,-12.3303899155,-76.7713659269,8636276.06272,307380.803307,0
124,-12.3304494559,-76.7621727645,8636276.06272,308380.803307,0
125,-12.3305086868,-76.7529795546,8636276.06272,309380.803307,0
126,-12.3305676083,-76.7437862975,8636276.06272,310380.803307,0
127,-12.3306262204,-76.7345929932,8636276.06272,311380.803307,0
128,-12.3306845229,-76.7253996423,8636276.06272,312380.803307,0
129,-12.330742516,-76.7162062448,8636276.06272,313380.803307,0
130,-12.3308001997,-76.707012801,8636276.06272,314380.803307,0
131,-12.3308575738,-76.6978193111,8636276.06272,315380.803307,0
132,-12.3174489877,-77.2952109833,8637276.06272,250380.803307,0
133,-12.3175260946,-77.2860212525,8637276.06272,251380.803307,0
134,-12.3176028927,-77.2768314601,8637276.06272,252380.803307,0
135,-12.3176793821,-77.2676416064,8637276.06272,253380.803307,0
136,-12.3177555628,-77.2584516916,8637276.06272,254380.803307,0
137,-12.3178314347,-77.2492617159,8637276.06272,255380.803307,0
138,-12.3179069978,-77.2400716796,8637276.06272,256380.803307,0
139,-12.3179822522,-77.2308815829,8637276.06272,257380.803307,0
140,-12.3180571978,-77.2216914261,8637276.06272,258380.803307,0
141,-12.3181318346,-77.2125012094,8637276.06272,259380.803307,0
142,-12.3182061625,-77.2033109331,8637276.06272,260380.803307,0
143,-12.3182801817,-77.1941205973,8637276.06272,261380.803307,0
144,-12.3183538921,-77.1849302025,8637276.06272,262380.803307,0
145,-12.3184272936,-77.1757397488,8637276.06272,263380.803307,0
146,-12.3185003863,-77.1665492364,8637276.06272,264380.803307,0
147,-12.3185731702,-77.1573586656,8637276.06272,265380.803307,0
148,-12.3186456452,-77.1481680367,8637276.06272,266380.803307,0
149,-12.3187178113,-77.1389773499,8637276.06272,267380.803307,0
150,-12.3187896686,-77.1297866054,8637276.06272,268380.803307,0
151,-12.318861217,-77.1205958035,8637276.06272,269380.803307,0
152,-12.3189324564,-77.1114049445,8637276.06272,270380.803307,0
153,-12.319003387,-77.1022140286,8637276.06272,271380.803307,0
154,-12.3190740087,-77.0930230559,8637276.06272,272380.803307,0
155,-12.3191443215,-77.0838320269,8637276.06272,273380.803307,0
156,-12.3192143253,-77.0746409417,8637276.06272,274380.803307,0
157,-12.3192840202,-77.0654498006,8637276.06272,275380.803307,0
158,-12.3193534062,-77.0562586038,8637276.06272,276380.803307,0
159,-12.3194224832,-77.0470673516,8637276.06272,277380.803307,0
160,-12.3194912512,-77.0378760442,8637276.06272,278380.803307,0
161,-12.3195597103,-77.0286846818,8637276.06272,279380.803307,0
162,-12.3196278604,-77.0194932648,8637276.06272,280380.803307,0
163,-12.3196957015,-77.0103017933,8637276.06272,281380.803307,0
164,-12.3197632336,-77.0011102677,8637276.06272,282380.803307,0
165,-12.3198304567,-76.9919186881,8637276.06272,283380.803307,0
166,-12.3198973708,-76.9827270548,8637276.06272,284380.803307,0
167,-12.3199639759,-76.973535368,8637276.06272,285380.803307,0
168,-12.3200302719,-76.9643436281,8637276.06272,286380.803307,0
169,-12.3200962589,-76.9551518351,8637276.06272,287380.803307,0
170,-12.3201619369,-76.9459599895,8637276.06272,288380.803307,0
171,-12.3202273058,-76.9367680915,8637276.06272,289380.803307,0
172,-12.3202923657,-76.9275761412,8637276.06272,290380.803307,0
173,-12.3203571165,-76.9183841389,8637276.06272,291380.803307,0
174,-12.3204215582,-76.9091920849,8637276.06272,292380.803307,0
175,-12.3204856908,-76.8999999795,8637276.06272,293380.803307,0
176,-12.3205495144,-76.8908078228,8637276.06272,294380.803307,0
177,-12.3206130288,-76.8816156152,8637276.06272,295380.803307,0
178,-12.3206762341,-76.8724233568,8637276.06272,296380.803307,0
179,-12.3207391303,-76.863231048,8637276.06272,297380.803307,0
180,-12.3208017174,-76.8540386889,8637276.06272,298380.803307,0
181,-12.3208639954,-76.8448462798,8637276.06272,299380.803307,72
182,-12.3209259642,-76.835653821,8637276.06272,300380.803307,474
183,-12.3209876238,-76.8264613127,8637276.06272,301380.803307,222
184,-12.3210489743,-76.8172687551,8637276.06272,302380.803307,0
185,-12.3211100157,-76.8080761486,8637276.06272,303380.803307,0
186,-12.3211707479,-76.7988834933,8637276.06272,304380.803307,0
187,-12.3212311709,-76.7896907895,8637276.06272,305380.803307,0
188,-12.3212912847,-76.7804980374,8637276.06272,306380.803307,0
189,-12.3213510893,-76.7713052374,8637276.06272,307380.803307,0
190,-12.3214105847,-76.7621123896,8637276.06272,308380.803307,0
191,-12.3214697709,-76.7529194942,8637276.06272,309380.803307,0
192,-12.3215286479,-76.7437265516,8637276.06272,310380.803307,0
193,-12.3215872157,-76.734533562,8637276.06272,311380.803307,0
194,-12.3216454743,-76.7253405257,8637276.06272,312380.803307,0
195,-12.3217034236,-76.7161474428,8637276.06272,313380.803307,0
196,-12.3217610636,-76.7069543136,8637276.06272,314380.803307,0
197,-12.3218183944,-76.6977611384,8637276.06272,315380.803307,0
198,-12.3084131044,-77.2951324396,8638276.06272,250380.803307,0
199,-12.308490153,-77.2859430226,8638276.06272,251380.803307,0
200,-12.3085668931,-77.2767535441,8638276.06272,252380.803307,0
201,-12.3086433247,-77.2675640042,8638276.06272,253380.803307,0
202,-12.3087194478,-77.2583744032,8638276.06272,254380.803307,0
203,-12.3087952623,-77.2491847413,8638276.06272,255380.803307,0
204,-12.3088707684,-77.2399950189,8638276.06272,256380.803307,0
205,-12.3089459659,-77.2308052361,8638276.06272,257380.803307,0
206,-12.3090208548,-77.2216153931,8638276.06272,258380.803307,0
207,-12.3090954352,-77.2124254903,8638276.06272,259380.803307,0
208,-12.309169707,-77.2032355279,8638276.06272,260380.803307,0
209,-12.3092436702,-77.1940455061,8638276.06272,261380.803307,0
210,-12.3093173249,-77.1848554252,8638276.06272,262380.803307,0
211,-12.309390671,-77.1756652854,8638276.06272,263380.803307,0
212,-12.3094637084,-77.1664750869,8638276.06272,264380.803307,0
213,-12.3095364373,-77.1572848301,8638276.06272,265380.803307,0
214,-12.3096088575,-77.1480945151,8638276.06272,266380.803307,0
215,-12.3096809691,-77.1389041423,8638276.06272,267380.803307,0
216,-12.309752772,-77.1297137118,8638276.06272,268380.803307,0
217,-12.3098242663,-77.1205232239,8638276.06272,269380.803307,0
218,-12.309895452,-77.1113326789,8638276.06272,270380.803307,0
219,-12.309966329,-77.1021420769,8638276.06272,271380.803307,0
220,-12.3100368973,-77.0929514183,8638276.06272,272380.803307,0
221,-12.3101071569,-77.0837607033,8638276.06272,273380.803307,0
222,-12.3101771078,-77.0745699321,8638276.06272,274380.803307,0
223,-12.31024675,-77.0653791051,8638276.06272,275380.803307,0
224,-12.3103160835,-77.0561882223,8638276.06272,276380.803307,0
225,-12.3103851083,-77.0469972842,8638276.06272,277380.803307,0
226,-12.3104538244,-77.0378062908,8638276.06272,278380.803307,0
227,-12.3105222317,-77.0286152425,8638276.06272,279380.803307,0
228,-12.3105903303,-77.0194241396,8638276.06272,280380.803307,0
229,-12.3106581202,-77.0102329822,8638276.06272,281380.803307,0
230,-12.3107256012,-77.0010417707,8638276.06272,282380.803307,0
231,-12.3107927735,-76.9918505052,8638276.06272,283380.803307,0
232,-12.3108596371,-76.982659186,8638276.06272,284380.803307,0
233,-12.3109261918,-76.9734678134,8638276.06272,285380.803307,0
234,-12.3109924377,-76.9642763876,8638276.06272,286380.803307,0
235,-12.3110583749,-76.9550849088,8638276.06272,287380.803307,0
236,-12.3111240032,-76.9458933774,8638276.06272,288380.803307,0
237,-12.3111893227,-76.9367017935,8638276.06272,289380.803307,0
238,-12.3112543334,-76.9275101573,8638276.06272,290380.803307,0
239,-12.3113190353,-76.9183184693,8638276.06272,291380.803307,0
240,-12.3113834283,-76.9091267295,8638276.06272,292380.803307,0
241,-12.3114475124,-76.8999349382,8638276.06272,293380.803307,0
242,-12.3115112877,-76.8907430958,8638276.06272,294380.803307,0
243,-12.3115747542,-76.8815512024,8638276.06272,295380.803307,0
244,-12.3116379117,-76.8723592582,8638276.06272,296380.803307,0
245,-12.3117007604,-76.8631672636,8638276.06272,297380.803307,0
246,-12.3117633002,-76.8539752187,8638276.06272,298380.803307,74
247,-12.3118255311,-76.8447831239,8638276.06272,299380.803307,1309
248,-12.311887453,-76.8355909794,8638276.06272,300380.803307,3558
249,-12.3119490661,-76.8263987853,8638276.06272,301380.803307,25
250,-12.3120103702,-76.8172065421,8638276.06272,302380.803307,0
251,-12.3120713655,-76.8080142498,8638276.06272,303380.803307,0
252,-12.3121320517,-76.7988219088,8638276.06272,304380.803307,0
253,-12.3121924291,-76.7896295193,8638276.06272,305380.803307,0
254,-12.3122524974,-76.7804370815,8638276.06272,306380.803307,0
255,-12.3123122569,-76.7712445958,8638276.06272,307380.803307,0
256,-12.3123717073,-76.7620520623,8638276.06272,308380.803307,0
257,-12.3124308488,-76.7528594813,8638276.06272,309380.803307,0
258,-12.3124896813,-76.7436668531,8638276.06272,310380.803307,0
259,-12.3125482048,-76.7344741778,8638276.06272,311380.803307,0
260,-12.3126064193,-76.7252814558,8638276.06272,312380.803307,0
261,-12.3126643248,-76.7160886872,8638276.06272,313380.803307,0
262,-12.3127219213,-76.7068958724,8638276.06272,314380.803307,0
263,-12.3127792088,-76.6977030116,8638276.06272,315380.803307,0
264,-12.2993772147,-77.295053958,8639276.06272,250380.803307,0
265,-12.299454205,-77.2858648546,8639276.06272,251380.803307,0
266,-12.299530887,-77.2766756896,8639276.06272,252380.803307,0
267,-12.2996072608,-77.2674864633,8639276.06272,253380.803307,0
268,-12.2996833263,-77.2582971759,8639276.06272,254380.803307,0
269,-12.2997590836,-77.2491078277,8639276.06272,255380.803307,0
270,-12.2998345325,-77.2399184188,8639276.06272,256380.803307,0
271,-12.2999096731,-77.2307289496,8639276.06272,257380.803307,0
272,-12.2999845054,-77.2215394203,8639276.06272,258380.803307,0
273,-12.3000590294,-77.2123498312,8639276.06272,259380.803307,0
274,-12.300133245,-77.2031601824,8639276.06272,260380.803307,0
275,-12.3002071523,-77.1939704742,8639276.06272,261380.803307,0
276,-12.3002807513,-77.184780707,8639276.06272,262380.803307,0
277,-12.3003540419,-77.1755908809,8639276.06272,263380.803307,0
278,-12.3004270241,-77.1664009961,8639276.06272,264380.803307,0
279,-12.3004996979,-77.157211053,8639276.06272,265380.803307,0
280,-12.3005720634,-77.1480210517,8639276.06272,266380.803307,0
281,-12.3006441204,-77.1388309926,8639276.06272,267380.803307,0
282,-12.3007158691,-77.1296408758,8639276.06272,268380.803307,0
